key	file	line	en	zh-TW	zh-CN	raw
mod.loaded	Mod.cs	195	Accessibility mod loaded	無障礙模組已載入	无障碍模组已加载	
mod.settings_save_failed	ModSettings.cs	78	Settings could not be saved.	設定無法儲存。	设置无法保存。	
history.none	Components/Speech.cs	125;136	No history.	沒有歷史紀錄。	没有历史记录。	
history.start	Components/Speech.cs	139	Start of history. {0}	歷史開頭。{0}	历史开头。{0}	"Start of history. " + _hist[0]
history.newest	Components/Speech.cs	140	Newest. {0}	最新。{0}	最新。{0}	"Newest. " + _hist[^1]
reader.dialogue_on	Mod.cs;Components/Dialogue.cs	199;56	Dialogue reader on.	對話朗讀開啟。	对话朗读开启。	
reader.dialogue_off	Mod.cs;Components/Dialogue.cs	199;56	Dialogue reader off, voice mode.	對話朗讀關閉，語音模式。	对话朗读关闭，语音模式。	
reader.subtitle_on	Mod.cs;Components/SubtitleReader.cs	201;37	Subtitle reader on.	字幕朗讀開啟。	字幕朗读开启。	
reader.subtitle_off	Mod.cs;Components/SubtitleReader.cs	201;37	Subtitle reader off.	字幕朗讀關閉。	字幕朗读关闭。	
reader.movie_desc_on	Mod.cs	203	Cutscene descriptions on.	過場描述開啟。	过场描述开启。	
reader.movie_desc_off	Mod.cs	203	Cutscene descriptions off.	過場描述關閉。	过场描述关闭。	
movie.desc_on	Components/MovieDescription.cs	41	Descriptions on.	描述開啟。	描述开启。	
movie.desc_off	Components/MovieDescription.cs	41	Descriptions off.	描述關閉。	描述关闭。	
movie.no_description	Components/MovieDescription.cs	93	Cutscene {0}, no description.	過場動畫{0}，沒有描述。	过场动画{0}，没有描述。	$"Cutscene {SpellCode(name)}, no description."
config.announce_dialogue.name	Config.cs	7	Announce Dialogue	朗讀對話	朗读对话	
config.announce_dialogue.desc	Config.cs	8	Reads dialogue lines aloud via screen reader.	透過螢幕閱讀器朗讀對話內容。	通过屏幕阅读器朗读对话内容。	
config.announce_field.name	Config.cs	12	Announce Field Location	播報場景位置	播报场景位置	
config.announce_field.desc	Config.cs	13	Announces the area name when moving between locations.	在地點之間移動時播報區域名稱。	在地点之间移动时播报区域名称。	
config.announce_battle.name	Config.cs	17	Announce Battle	播報戰鬥	播报战斗	
config.announce_battle.desc	Config.cs	18	Announces battle menu items and skills.	播報戰鬥選單項目和技能。	播报战斗菜单项目和技能。	
config.announce_saves.name	Config.cs	22	Announce Save Slots	播報存檔欄位	播报存档位	
config.announce_saves.desc	Config.cs	23	Reads save slot details when navigating the load/save screen.	瀏覽讀檔存檔畫面時朗讀存檔欄位詳情。	浏览读档存档画面时朗读存档位详情。	
settings.open	Components/SettingsMenu.cs	361	Accessibility settings. {0}	無障礙設定。{0}	无障碍设置。{0}	$"Accessibility settings. {TopEntryText()}"
settings.closed	Components/SettingsMenu.cs	369	Settings closed.	設定已關閉。	设置已关闭。	
settings.restart_needed	Components/SettingsMenu.cs	240	Takes effect after restarting the game.	重新啟動遊戲後生效。	重新启动游戏后生效。	
settings.empty	Components/SettingsMenu.cs	424	Empty.	空的。	空的。	
settings.help_missing	Components/SettingsMenu.cs	435	Help content is missing.	找不到說明內容。	找不到帮助内容。	
settings.help_open	Components/SettingsMenu.cs	438	Help. {0}	說明。{0}	帮助。{0}	$"Help. {HelpEntryText(_helpRoot, 0)}"
settings.restored	Components/SettingsMenu.cs	450	All settings restored to defaults.	所有設定已還原為預設值。	所有设置已恢复为默认值。	
settings.confirm_restore	Components/SettingsMenu.cs	456	Press Enter again to restore all settings to defaults.	再按一次 Enter 將所有設定還原為預設值。	再按一次 Enter 将所有设置恢复为默认值。	
settings.top_help_entry	Components/SettingsMenu.cs	495	Help. Controls and game tips. Item {0} of {1}.	說明。操作與遊戲提示。第 {0} 項，共 {1} 項。	帮助。操作与游戏提示。第 {0} 项，共 {1} 项。	$"Help. Controls and game tips. Item {_catIndex + 1} of {TopCount}."
settings.top_restore_entry	Components/SettingsMenu.cs	497	Restore defaults. {0} Item {1} of {2}.	還原預設值。{0} 第 {1} 項，共 {2} 項。	恢复默认值。{0} 第 {1} 项，共 {2} 项。	$"Restore defaults. {_restoreRow.Desc} Item {TopCount} of {TopCount}."
settings.top_category_entry	Components/SettingsMenu.cs	499	{0} category. {1} Item {2} of {3}.	{0}類別。{1} 第 {2} 項，共 {3} 項。	{0}类别。{1} 第 {2} 项，共 {3} 项。	$"{c.Name} category. {c.Desc} Item {_catIndex + 1} of {TopCount}."
settings.help_entry	Components/SettingsMenu.cs	507;510	{0}. {1} Item {2} of {3}.	{0}。{1} 第 {2} 項，共 {3} 項。	{0}。{1} 第 {2} 项，共 {3} 项。	$"{c.Name}. {c.Desc} Item {idx + 1} of {node.Children.Length}."
settings.row_focus	Components/SettingsMenu.cs	514	{0}, {1}. {2} Row {3} of {4}.	{0}，{1}。{2} 第 {3} 列，共 {4} 列。	{0}，{1}。{2} 第 {3} 行，共 {4} 行。	$"{row.Name}, {ValueText(row, row.Get())}. {row.Desc} Row {index + 1} of {count}."
settings.row_adjust	Components/SettingsMenu.cs	411	{0}, {1}	{0}，{1}	{0}，{1}	$"{row.Name}, {ValueText(row, v)}"
settings.category_enter	Components/SettingsMenu.cs	463	{0}. {1}	{0}。{1}	{0}。{1}	$"{_cats[_catIndex].Name}. {RowFocusText(rows[0], 0, rows.Length)}"
settings.value_percent	Components/SettingsMenu.cs	518	{0} percent	百分之{0}	百分之{0}	$"{v} percent"
settings.value_hertz	Components/SettingsMenu.cs	519	{0} hertz	{0} 赫茲	{0} 赫兹	$"{v} hertz"
settings.option.off	Components/SettingsMenu.cs	110	Off	關閉	关闭	
settings.option.on	Components/SettingsMenu.cs	110	On	開啟	开启	
settings.restore.name	Components/SettingsMenu.cs	80	Restore defaults	還原預設值	恢复默认值	
settings.restore.desc	Components/SettingsMenu.cs	81	Resets every setting in this menu to its default value.	將此選單中的每項設定重設為預設值。	将此菜单中的每项设置重置为默认值。	
settings.help.desc	Components/SettingsMenu.cs	280	Controls and game tips.	操作與遊戲提示。	操作与游戏提示。	
settings.cat.sound.name	Components/SettingsMenu.cs	102	Sound volumes	音效音量	音效音量	
settings.cat.sound.desc	Components/SettingsMenu.cs	103	A volume for every mod sound, and the shadow radar pitches.	每種模組音效的音量，以及陰影雷達的音高。	每种模组音效的音量，以及阴影雷达的音高。	
settings.wall_sound.name	Components/SettingsMenu.cs	108	Wall sound	牆壁音效	墙壁音效	
settings.wall_sound.desc	Components/SettingsMenu.cs	109	The continuous wall hum. Saved, so it stays as you leave it across sessions. N toggles it in a dungeon.	持續的牆壁嗡鳴聲。設定會儲存，跨場次維持你離開時的狀態。在迷宮中按 N 切換。	持续的墙壁嗡鸣声。设置会保存，跨场次维持你离开时的状态。在迷宫中按 N 切换。	
settings.shadow_radar.name	Components/SettingsMenu.cs	116	Shadow radar	陰影雷達	阴影雷达	
settings.shadow_radar.desc	Components/SettingsMenu.cs	117	Stereo tones at each shadow's real position. Saved across sessions. The period key toggles it in a dungeon.	在每個陰影的實際位置發出立體聲音調。跨場次儲存。在迷宮中按句號鍵切換。	在每个阴影的实际位置发出立体声音调。跨场次保存。在迷宫中按句号键切换。	
settings.stairs_beacon.name	Components/SettingsMenu.cs	124	Stairs beacon	樓梯信標	楼梯信标	
settings.stairs_beacon.desc	Components/SettingsMenu.cs	125	A ping from the next-floor stairs once the minimap knows them. Saved across sessions. Slash toggles it in a dungeon.	小地圖記錄到下一層樓梯後，從樓梯位置發出提示音。跨場次儲存。在迷宮中按斜線鍵切換。	小地图记录到下一层楼梯后，从楼梯位置发出提示音。跨场次保存。在迷宫中按斜杠键切换。	
settings.chest_beacon.name	Components/SettingsMenu.cs	132	Chest beacon	寶箱信標	宝箱信标	
settings.chest_beacon.desc	Components/SettingsMenu.cs	133	A ping from the nearest chest. Saved across sessions. Comma toggles it in a dungeon.	從最近的寶箱發出提示音。跨場次儲存。在迷宮中按逗號鍵切換。	从最近的宝箱发出提示音。跨场次保存。在迷宫中按逗号键切换。	
settings.vol_wall_hum.name	Components/SettingsMenu.cs	138	Wall hum volume	牆壁嗡鳴音量	墙壁嗡鸣音量	
settings.vol_wall_hum.desc	Components/SettingsMenu.cs	139	The four directional wall sounds while walking a dungeon.	在迷宮行走時四個方向的牆壁音效。	在迷宫行走时四个方向的墙壁音效。	
settings.vol_door.name	Components/SettingsMenu.cs	142	Door cue volume	門提示音量	门提示音量	
settings.vol_door.desc	Components/SettingsMenu.cs	143	The distinct door sound inside the wall hum.	牆壁嗡鳴中特殊的門音效。	墙壁嗡鸣中特殊的门音效。	
settings.vol_stairs.name	Components/SettingsMenu.cs	146	Stairs beacon volume	樓梯信標音量	楼梯信标音量	
settings.vol_stairs.desc	Components/SettingsMenu.cs	147	The looping beacon toward the stairs.	指向樓梯的循環信標音。	指向楼梯的循环信标音。	
settings.vol_chest.name	Components/SettingsMenu.cs	150	Chest beacon volume	寶箱信標音量	宝箱信标音量	
settings.vol_chest.desc	Components/SettingsMenu.cs	151	The looping beacon toward the nearest chest.	指向最近寶箱的循環信標音。	指向最近宝箱的循环信标音。	
settings.vol_nav.name	Components/SettingsMenu.cs	154	Navigation beacon volume	導航信標音量	导航信标音量	
settings.vol_nav.desc	Components/SettingsMenu.cs	155	The ping toward your selected target, in dungeons and town.	指向所選目標的提示音，迷宮和城鎮都適用。	指向所选目标的提示音，迷宫和城镇都适用。	
settings.vol_shadow.name	Components/SettingsMenu.cs	158	Shadow sound volume	陰影音效音量	阴影音效音量	
settings.vol_shadow.desc	Components/SettingsMenu.cs	159	The shadow sound and danger cues while the radar is on.	雷達開啟時的陰影音效和危險提示音。	雷达开启时的阴影音效和危险提示音。	
settings.vol_gold.name	Components/SettingsMenu.cs	162	Golden hand volume	黃金之手音量	黄金之手音量	
settings.vol_gold.desc	Components/SettingsMenu.cs	163	The golden hand sound while the radar is on.	雷達開啟時的黃金之手音效。	雷达开启时的黄金之手音效。	
settings.vol_choice.name	Components/SettingsMenu.cs	166	Choice sound volume	選項音效音量	选项音效音量	
settings.vol_choice.desc	Components/SettingsMenu.cs	167	The chime when a dialogue choice appears.	對話選項出現時的提示音。	对话选项出现时的提示音。	
settings.check_sound.name	Components/SettingsMenu.cs	172	Check sound	調查音效	调查音效	
settings.check_sound.desc	Components/SettingsMenu.cs	173	A short blip whenever a Check prompt appears, before its name is spoken.	出現調查提示時，在唸出名稱前先播一聲短音。	出现调查提示时，在念出名称前先播一声短音。	
settings.vol_check.name	Components/SettingsMenu.cs	178	Check sound volume	調查音效音量	调查音效音量	
settings.vol_check.desc	Components/SettingsMenu.cs	179	The blip when a Check prompt appears.	調查提示出現時的短音。	调查提示出现时的短音。	
settings.vol_cursor.name	Components/SettingsMenu.cs	182	Cursor beeps volume	游標提示音音量	光标提示音音量	
settings.vol_cursor.desc	Components/SettingsMenu.cs	183	The short ticks from the mapping cursor and the navigation browsers.	地圖游標和導航瀏覽的短促滴答聲。	地图光标和导航浏览的短促滴答声。	
settings.vol_chime.name	Components/SettingsMenu.cs	186	Arrival chime volume	到達提示音音量	到达提示音音量	
settings.vol_chime.desc	Components/SettingsMenu.cs	187	The rising three-note chime when auto-walk arrives.	自動行走到達時上揚的三音提示音。	自动行走到达时上扬的三音提示音。	
settings.vol_bump.name	Components/SettingsMenu.cs	190	Wall bump volume	撞牆音量	撞墙音量	
settings.vol_bump.desc	Components/SettingsMenu.cs	191	The thunk when you push into a wall.	撞到牆壁時的悶響。	撞到墙壁时的闷响。	
settings.cat.cursor.name	Components/SettingsMenu.cs	198	Cursor	游標	光标	
settings.cat.cursor.desc	Components/SettingsMenu.cs	199	How the H mapping cursor starts.	H 鍵地圖游標的初始狀態。	H 键地图光标的初始状态。	
settings.nav_sort.name	Components/SettingsMenu.cs	204	Navigation sorting	導航排序	导航排序	
settings.nav_sort.desc	Components/SettingsMenu.cs	205	How the navigation lists are ordered. By distance keeps the nearest first; Alphabetical keeps a stable order. It applies in town and in dungeon lobbies; dungeon floors always stay by distance.	導航清單的排列方式。依距離會把最近的排在最前面；依字母則保持固定順序。適用於城鎮和迷宮大廳；迷宮樓層一律依距離排序。	导航列表的排列方式。按距离会把最近的排在最前面；按字母则保持固定顺序。适用于城镇和迷宫大厅；迷宫楼层一律按距离排序。	
settings.nav_sort.opt.distance	Components/SettingsMenu.cs	206	By distance	依距離	按距离	
settings.nav_sort.opt.alpha	Components/SettingsMenu.cs	206	Alphabetical	依字母	按字母	
settings.cursor_mode.name	Components/SettingsMenu.cs	212	Cursor default mode	游標預設模式	光标默认模式	
settings.cursor_mode.desc	Components/SettingsMenu.cs	213	What the mapping cursor starts in each time you open it. Walk steps the player; Look surveys without moving.	每次開啟地圖游標時的初始模式。行走會實際移動玩家；查看則原地探查不移動。	每次开启地图光标时的初始模式。行走会实际移动玩家；查看则原地探查不移动。	
settings.cursor_mode.opt.walk	Components/SettingsMenu.cs	214	Walk	行走	行走	
settings.cursor_mode.opt.look	Components/SettingsMenu.cs	214	Look	查看	查看	
settings.cursor_frame.name	Components/SettingsMenu.cs	220	Cursor default directions	游標預設方向	光标默认方向	
settings.cursor_frame.desc	Components/SettingsMenu.cs	221	The direction frame at game start. Compass is fixed north south west east; Camera is ahead behind left right.	遊戲開始時使用的方向座標。羅盤固定為北、南、西、東；鏡頭則是前方、後方、左邊、右邊。	游戏开始时使用的方向坐标。罗盘固定为北、南、西、东；镜头则是前方、后方、左边、右边。	
settings.cursor_frame.opt.compass	Components/SettingsMenu.cs	222	Compass	羅盤	罗盘	
settings.cursor_frame.opt.camera	Components/SettingsMenu.cs	222	Camera	鏡頭	镜头	
settings.cat.readers.name	Components/SettingsMenu.cs	230	Readers	朗讀功能	朗读功能	
settings.cat.readers.desc	Components/SettingsMenu.cs	231	The spoken reader toggles. Their shortcuts keep working and stay in sync.	各朗讀功能的開關。原本的快捷鍵仍然有效並保持同步。	各朗读功能的开关。原本的快捷键仍然有效并保持同步。	
settings.text_language.name	Components/SettingsMenu.cs	236	Game text language	遊戲文字語言	游戏文字语言	
settings.text_language.desc	Components/SettingsMenu.cs	237	Which script the game's text is decoded with. Auto follows the language set for the game in Steam. Takes effect after restarting the game.	遊戲文字用哪種文字編碼解讀。自動會跟隨 Steam 中該遊戲的語言設定。重新啟動遊戲後生效。	游戏文字用哪种文字编码解读。自动会跟随 Steam 中该游戏的语言设置。重新启动游戏后生效。	
settings.dialogue_reader.name	Components/SettingsMenu.cs	244	Dialogue reader	對話朗讀	对话朗读	
settings.dialogue_reader.desc	Components/SettingsMenu.cs	245	Automatic reading of dialogue text.	自動朗讀對話文字。	自动朗读对话文字。	
settings.subtitles.name	Components/SettingsMenu.cs	252	Cutscene subtitles	過場字幕	过场字幕	
settings.subtitles.desc	Components/SettingsMenu.cs	253	Reading of anime cutscene subtitles. Note: subtitles must also be turned on in the game's own settings for this to read.	朗讀動畫過場的字幕。注意：遊戲本身設定中也必須開啟字幕才能朗讀。	朗读动画过场的字幕。注意：游戏本身设置中也必须开启字幕才能朗读。	
settings.movie_desc.name	Components/SettingsMenu.cs	260	Cutscene descriptions	過場描述	过场描述	
settings.movie_desc.desc	Components/SettingsMenu.cs	261	Hand written descriptions of cutscene visuals.	人工撰寫的過場畫面描述。	人工撰写的过场画面描述。	
lang.auto	Native/Text/GameLanguage.cs	17	Auto	自動	自动	
lang.efigs	Native/Text/GameLanguage.cs	17	English and European	英文與歐洲語言	英语与欧洲语言	
lang.japanese	Native/Text/GameLanguage.cs	17	Japanese	日文	日语	
lang.schinese	Native/Text/GameLanguage.cs	17	Simplified Chinese	簡體中文	简体中文	
lang.tchinese	Native/Text/GameLanguage.cs	17	Traditional Chinese	繁體中文	繁体中文	
lang.korean	Native/Text/GameLanguage.cs	17	Korean	韓文	韩语	
title.press_any	Components/TitleMenu.cs	90	Press any button to continue	按任意鍵繼續	按任意键继续	
title.new_game	Components/TitleMenu.cs	23	New Game	新遊戲	新游戏	
title.load_game	Components/TitleMenu.cs	23	Load Game	載入遊戲	读取游戏	
title.continue	Components/TitleMenu.cs	23	Continue	繼續遊戲	继续游戏	
title.config	Components/TitleMenu.cs;Components/EarlyMenu.cs;Components/CommandMenus/PlayerMenu.cs	24;83;809	Config	設定	设置	
title.tv_listing	Components/TitleMenu.cs	24	TV Listing	電視節目表	电视节目表	
title.exit	Components/TitleMenu.cs	24	Exit	離開遊戲	退出游戏	
difficulty.very_easy	Components/DifficultyMenu.cs;Components/CommandMenus/PlayerMenu.cs	19;491	Very Easy	非常簡單	非常简单	
difficulty.easy	Components/DifficultyMenu.cs;Components/CommandMenus/PlayerMenu.cs	19;491	Easy	簡單	简单	
difficulty.normal	Components/DifficultyMenu.cs;Components/CommandMenus/PlayerMenu.cs	19;491	Normal	普通	普通	
difficulty.hard	Components/DifficultyMenu.cs;Components/CommandMenus/PlayerMenu.cs	19;491	Hard	困難	困难	
difficulty.very_hard	Components/DifficultyMenu.cs;Components/CommandMenus/PlayerMenu.cs	19;491	Very Hard	非常困難	非常困难	
difficulty.desc.very_easy	Components/DifficultyMenu.cs	26	This mode is easier than easy. Relax and enjoy the story. If your party is wiped in battle, you can instantly retry.	這個模式比簡單還要簡單。放鬆享受劇情吧。戰鬥中全滅也能立即重試。	这个模式比简单还要简单。放松享受剧情吧。战斗中全灭也能立即重试。	
difficulty.desc.easy	Components/DifficultyMenu.cs	27	For those who are less than confident in their skills. The battles are easier than Normal mode, so don't get too worked up.	給對自己技術沒什麼信心的玩家。戰鬥比普通模式輕鬆，不用太緊張。	给对自己技术没什么信心的玩家。战斗比普通模式轻松，不用太紧张。	
difficulty.desc.normal	Components/DifficultyMenu.cs	28	This is the best balance of difficulty and enjoyment. Please experience the tension.	難度和樂趣最平衡的模式。請好好體驗那份緊張感。	难度和乐趣最平衡的模式。请好好体验那份紧张感。	
difficulty.desc.hard	Components/DifficultyMenu.cs	29	This is for the confident. Battles are more challenging, and you'll experience severe gameplay.	給有自信的玩家。戰鬥更有挑戰性，遊戲過程會相當嚴酷。	给有自信的玩家。战斗更有挑战性，游戏过程会相当严酷。	
difficulty.desc.very_hard	Components/DifficultyMenu.cs	30	Do you hate yourself, or are you supremely self-confident? This difficulty requires a strength of heart that never gives in.	你是討厭自己，還是對自己超有自信？這個難度需要永不屈服的堅強內心。	你是讨厌自己，还是对自己超有自信？这个难度需要永不屈服的坚强内心。	
dialog.yes	Components/InternetDialog.cs	29	Yes	是	是	
dialog.no	Components/InternetDialog.cs	29	No	否	否	
sysmenu.change_difficulty	Components/EarlyMenu.cs;Components/CommandMenus/PlayerMenu.cs	84;810	Change Difficulty	變更難度	更改难度	
